Area,Year,Area harvested (ha),Production (t),Yield (kg/ha),razão de produção/area
Argentina,2018,198170.0,1367968.0,6903.0,6903.002472624515
Bolivia (Plurinational State of),2018,169776.0,541157.0,3187.5,3187.4764395438697
Brazil,2018,1872155.0,11808412.0,6307.4,6307.3901466491825
Chile,2018,29522.0,192808.0,6531.0,6530.993835106023
Colombia,2018,590000.0,2591400.0,4392.2,4392.203389830509
Ecuador,2018,298300.0,1083300.0,3631.6,3631.5789473684213
Guyana,2018,167000.0,964000.0,5772.5,5772.455089820359
Paraguay,2018,142000.0,894600.0,6300.0,6300.0
Peru,2018,437938.0,3557899.99,8124.2,8124.209340134906
South America,2018,4294163.0,25013043.99,5824.9,5824.893929270966
Suriname,2018,56248.0,273916.0,4869.8,4869.790925899587
Uruguay,2018,162400.0,1247000.0,7678.6,7678.571428571428
Venezuela (Bolivarian Republic of),2018,170654.0,490583.0,2874.7,2874.723123981858
